Price,Close,High,Low,Open,Volume,SMA_20,RSI
2018-01-30,39.18534469604492,39.279217239588455,38.652608879864985,38.84739780967541,184192800,40.91356220245361,26.69813588888485
2018-01-31,39.29329299926758,39.530327051641194,39.0750377505356,39.1618700218366,129915600,40.856885719299314,29.049115029953285
2018-02-01,39.37543487548828,39.5725693452636,39.13605525875675,39.23227693364981,188923200,40.804668235778806,30.86612837548566
2018-02-02,37.66693115234375,39.145446923123295,37.57305861302765,38.95769826348325,346375200,40.65763778686524,19.61453034211611
2018-02-05,36.7258415222168,38.4601628009349,36.610844631327524,37.33836925832738,290954000,40.44043655395508,16.127215346795055
2018-02-06,38.26068115234375,38.422614315581534,36.14147667042232,36.336265578302005,272975200,40.30760478973389,36.08571525847436
2018-02-07,37.44163131713867,38.34751526986964,37.33133269703871,38.27476351616194,206434400,40.13405494689941,31.744535079289705
2018-02-08,36.41136169433594,37.784269825362344,36.383200651568615,37.61764196663826,217562000,39.909461212158206,27.29617848942091
2018-02-09,36.85673522949219,37.20548409077683,35.402825738060095,37.01225968224657,282690400,39.695519065856935,31.748639559368513
2018-02-12,38.34126281738281,38.61931829914723,37.11592309360053,37.34920967240823,243278000,39.53456439971924,44.048569447060956
2018-02-13,38.72536849975586,38.82198249059951,38.09149154873951,38.16218480046921,130196800,39.40337600708008,46.7238615342811
2018-02-14,39.439361572265625,39.47942024136556,38.38133233479406,38.4190322850241,162579600,39.27374114990234,51.37781885681022
2018-02-15,40.763668060302734,40.78723007818858,39.82345617338796,40.00961157579968,204588800,39.20844440460205,58.60142759365528
2018-02-16,40.63171005249024,41.19489735366418,40.47618921168071,40.61521699774737,160704400,39.14593677520752,57.68184477981514
2018-02-20,40.49503707885742,41.06293097636061,40.39370925438159,40.542164710786906,135722000,39.09372673034668,56.68960270217176
2018-02-21,40.31124114990234,41.02994570454472,40.29709962274955,40.725969389511896,149886400,39.031857872009276,55.31165393400998
2018-02-22,40.6482048034668,40.98988464646129,40.4620493896228,40.48325628570477,123967600,39.019927215576175,57.35808990923718
2018-02-23,41.355125427246094,41.390470250051976,40.893266034139415,40.923900610976254,135249600,39.07983665466308,61.35621029916624
2018-02-26,42.17280960083008,42.27177871683173,41.522439583272835,41.55542928860672,152648800,39.17593631744385,65.39755277508155
2018-02-27,42.0361328125,42.52862322080652,41.98193621525677,42.20344004173933,155712400,39.30685882568359,64.18917809469184
2018-02-28,41.9725227355957,42.561627326407944,41.95602967676968,42.24115428518172,151128400,39.446217727661136,63.60017944431896
2018-03-01,41.23731231689453,42.36367975995876,40.685911403717476,42.071482652551495,195208000,39.54341869354248,57.08070982968409
2018-03-02,41.522438049316406,41.54364494576013,40.636422689181344,40.71889874727326,153816000,39.65076885223389,58.84272631669549
2018-03-05,41.66617584228516,41.88296582019511,41.12419909970639,41.286792482040795,113605600,39.85073108673096,59.740051575566724
2018-03-06,41.63082885742188,42.00314326566764,41.50358389046572,41.92302593108013,95154000,40.09598045349121,59.39709857229688
2018-03-07,41.2443733215332,41.43760127355482,41.065286894172935,41.22316642795256,126814000,40.245165061950686,55.6364701189308
2018-03-08,41.694454193115234,41.736867984637264,41.25380524613253,41.350415636468696,95096400,40.45780620574951,58.90017496243013
2018-03-09,42.41080093383789,42.41551477558312,41.800489667512856,41.934807190193915,128740800,40.75777816772461,63.502387340351845
2018-03-12,42.820831298828125,42.97871088484071,42.46501344936174,42.48386163059743,128828400,41.055982971191405,65.85896004353881
2018-03-13,42.408447265625,43.2402623796114,42.2364297899041,43.02582751794374,126774000,41.259342193603516,61.5542404497618
2018-03-14,42.04792022705078,42.53805556591924,41.899464753543086,42.49092792856055,117473600,41.42546977996826,57.98584736353279
2018-03-15,42.09740447998047,42.47207765994189,41.96073540547845,42.0620596496107,90975200,41.558371925354,58.34280656360639
2018-03-16,41.948951721191406,42.20815552824538,41.85469284949225,42.09740360125407,157618800,41.617636108398436,56.784130419823185
2018-03-19,41.3079948425293,41.819336950975384,40.92154255987105,41.78399213069858,133787200,41.65145034790039,50.50977355544065
2018-03-20,41.29386520385742,41.66146579095869,41.223171953505314,41.29386520385742,78597600,41.69139175415039,50.377623654708735
2018-03-21,40.35837173461914,41.258521532914536,40.35601301545062,41.246738723897394,148219600,41.69374828338623,42.4573729970792
2018-03-22,39.78810501098633,40.69060961518841,39.72919458224374,40.05909154495934,165963200,41.650743293762204,38.485292892732645
2018-03-23,38.86676025390625,40.040255446962874,38.86676025390625,39.679723769604465,164115200,41.52632503509521,33.09773472793084
2018-03-26,40.71183395385742,40.789596177728065,39.22022095912076,39.604318235800726,150164800,41.45327625274658,48.6121073184172
2018-03-27,39.66793823242188,41.272658253770935,39.33332732068814,40.92626453336599,163690400,41.334866523742676,42.593878882435035
2018-03-28,39.22965240478516,40.06382652955228,38.92567601411827,39.41109762783934,166674000,41.19772300720215,40.335993105350596
2018-03-29,39.53597640991211,40.47147453692967,39.32861049895362,39.54304537545768,153594000,41.11265621185303,42.62519596082039
2018-04-02,39.27677536010742,39.80932815454368,38.756008970960146,39.2673512697284,150347200,41.00037307739258,41.18522506552633
2018-04-03,39.67972183227539,39.76455302254783,38.852620423825435,39.50299048550851,121112000,40.90105037689209,44.333526587996616
2018-04-04,40.4384765625,40.53273181423707,38.82668802678752,38.85260876035632,138422000,40.841432762146,49.78441332523517
2018-04-05,40.71889114379883,41.05585708750964,40.54922881271408,40.66704967621141,107732800,40.815158653259275,51.6680270141972
2018-04-06,39.6773567199707,40.64348568170846,39.63493933770883,40.287667954213894,140021200,40.71430377960205,44.92710300608739
2018-04-09,40.07088088989258,40.787230238252334,40.02375325832814,40.030822223282414,116070800,40.59730777740479,47.70332443407064
2018-04-10,40.824928283691406,41.001659574962794,40.419624234727095,40.766017853267606,113634400,40.497512626647946,52.63079656319175
2018-04-11,40.63407897949219,40.98282789175556,40.459702725555964,40.58459261161533,89726400,40.408794212341306,51.31298298607547
2018-04-12,41.0346565246582,41.23730858495717,40.77544914673815,40.86263904418833,91557200,40.35813102722168,53.920928178700116
2018-04-13,41.17368316650391,41.43524566042456,40.96632086549492,41.18546597346766,100497200,40.31194496154785,54.82536056140743
2018-04-16,41.43053436279297,41.51772066001814,41.19724773501885,41.24437536607009,86313600,40.28602409362793,56.52320593999241
2018-04-17,42.00078582763672,42.16573432963981,41.569561003795144,41.588412774825166,106421600,40.320663642883304,60.10795865647786
2018-04-18,41.90652847290039,42.13745997958061,41.68031440365616,41.89945950796199,83018000,40.35129680633545,59.23851908113138
2018-04-19,40.71889114379883,41.32920235376922,40.685901445843875,40.94510518817356,139235200,40.369322776794434,49.51922841738919
2018-04-20,39.05054473876953,40.346574152727804,38.98220662885717,40.20047744211226,261964400,40.332444763183595,39.67222644099325
2018-04-23,38.937442779541016,39.33331918058596,38.666452618618635,39.31211228673161,146062000,40.33597888946533,39.10451758357458
2018-04-24,38.39546585083008,39.19429120893321,37.99016176869321,39.03876679693956,134768000,40.220160484313965,36.415343819649244
2018-04-25,38.562774658203125,38.979861602588485,38.27058116128908,38.32006392000796,113528400,40.16490230560303,37.83652646018061
2018-04-26,38.69709014892578,39.052907912420274,38.49679321450623,38.673524534661865,111852000,40.13827419281006,39.01498067910774
2018-04-27,38.24937438964844,38.72301305983123,37.8511392172482,38.64525084312514,142623200,40.073944091796875,36.52911555853937
2018-04-30,38.9421501159668,39.41343356520298,38.13625584924581,38.20459396292519,169709600,40.057212829589844,42.62128465606352
2018-05-01,39.84703063964844,39.870592662769035,38.944522095571145,39.21315360928436,214277600,40.06557826995849,49.44671505328088
2018-05-02,41.60727310180664,41.8853286915604,40.95454432864741,41.291510366631215,266157600,40.12401809692383,59.53141864186723
2018-05-03,41.68267440795898,41.826416037885345,41.10535276486756,41.444677504077866,136272800,40.172207260131835,59.90043403920395
2018-05-04,43.31802368164063,43.416992785962016,41.984290502990305,42.00314227461454,224805200,40.354240608215335,66.94133393333216
2018-05-07,43.63143157958984,44.222891135779996,43.53481758965198,43.636141826215024,169805600,40.5322681427002,68.09744115442496
2018-05-08,43.84114837646485,43.88120704255573,43.280319859976906,43.59136869636416,113611200,40.683079147338866,68.88165982007331
2018-05-09,44.149845123291016,44.15926921265365,43.645571845594965,43.95897585212502,92844800,40.858867454528806,70.04876477985268
2018-05-10,44.7813606262207,44.85912284220606,44.218176936758304,44.23938742883291,111957200,41.046202659606934,72.33470779170531
2018-05-11,44.61103820800781,44.95876757804879,44.34137090159569,44.82393572957902,104848800,41.21807041168213,70.76597972548905
2018-05-14,44.5069580078125,44.83339872725097,44.438359977373224,44.71039150392342,83115200,41.37189159393311,69.77022574506711
2018-05-15,44.10246658325195,44.2514945221475,43.78548984575124,44.182892870174804,94780800,41.47697563171387,65.88986562488483
2018-05-16,44.51405715942383,44.58029459901324,43.99837896645012,44.01493922871573,76732400,41.607352066040036,67.84931021379509
2018-05-17,44.232566833496094,44.68674323241154,44.08353890544755,44.47148147177989,69176000,41.783035850524904,65.09520035982928
2018-05-18,44.07169723510742,44.42652277704792,44.029119902621154,44.27986270807691,73190800,42.0340934753418,63.50861425661282
2018-05-21,44.38395690917969,44.7718994575301,44.21364031629678,44.471479410434824,73603200,42.30641918182373,65.27770344264682
2018-05-22,44.27278900146485,44.67965611856497,44.18289866342736,44.56138087776781,60962800,42.60028533935547,64.08653177697565
2018-05-23,44.55664443969727,44.589761359457974,43.94161180474291,44.08117931824562,80233600,42.89997882843018,65.80248899498343
2018-05-24,44.5069580078125,44.67017836753173,44.048053246327676,44.65362171582824,92936000,43.19047222137451,65.21510436774977
2018-05-25,44.608680725097656,44.86178780942096,44.38868694727268,44.52588663043246,69844000,43.50843753814697,65.88648915876617
2018-05-29,44.44783020019531,44.64889953593465,44.20418351400214,44.376867949438925,90056400,43.7837215423584,63.789859837229926
2018-05-30,44.35320663452149,44.47148185221354,44.18289003228706,44.40524801906384,74762000,44.00903034210205,62.52928036755821
2018-05-31,44.20418167114258,44.52589042922942,44.03150085237839,44.286975772871486,109931200,44.138875770568845,60.501462919502785
2018-06-01,45.00135040283203,45.00607881211757,44.412338594235976,44.469111990917085,93770000,44.30480957031251,66.7189918363675
2018-06-04,45.3774642944336,45.753578569376124,45.263921111511316,45.332519140294664,105064800,44.40778160095215,69.18372940049147
2018-06-05,45.727577209472656,45.87660518156407,45.50285495326167,45.670807398751535,86264000,44.512588882446295,71.313465247744
2018-06-06,45.88605499267578,45.90971148131684,45.3987616462465,45.80326450137887,83734400,44.614834213256835,72.24839443003013
2018-06-07,45.7630500793457,45.938095096293395,45.4981111299689,45.92390264729475,85388800,44.69549446105957,70.33239752586505
2018-06-08,45.34671401977539,45.41767986646132,44.89017344949806,45.22134258806852,106627200,44.723762130737306,64.13293590164648
2018-06-11,45.23554229736328,45.410590932693474,44.99426343315968,45.263930806278715,73234000,44.75498733520508,62.54751847289949
2018-06-12,45.48390579223633,45.5619678490818,45.21660271359628,45.273376102976336,67644400,44.80383472442627,64.64999016400363
2018-06-13,45.110164642333984,45.62584643794907,45.04866283217583,45.517031655929124,86553600,44.854219627380374,59.25896386476189
2018-06-14,45.13381576538086,45.31596057888163,44.99661610412454,45.31122856036312,86440400,44.88520755767822,59.489182000823085
2018-06-15,44.6701774597168,44.98242572578577,44.53297779215371,44.951673018210656,246876800,44.907088088989255,53.148829629369175
2018-06-18,44.64653396606445,44.76007717327769,44.28224424577315,44.44310043134259,73939600,44.93582992553711,52.83954984775648
2018-06-19,43.92504119873047,44.076433299478275,43.39516704137694,43.794937766180226,134314000,44.91288414001465,44.35702319926809
2018-06-20,44.11665344238281,44.28223801491003,43.934508607866384,44.08117232308161,82514800,44.905077362060545,46.79964705805345
2018-06-21,43.87063980102539,44.55427032867904,43.74763257948827,44.29406343878758,102847600,44.87077713012695,44.12160055645346
2018-06-22,43.74288940429688,44.03384531826105,43.6908480395915,44.0267490966623,108801600,44.83257369995117,42.753448283792345
2018-06-25,43.09238052368164,43.74289404199558,42.75174741293988,43.383336468493475,126652400,44.75675868988037,36.54006494798001
2018-06-26,43.62698745727539,44.123744728742274,43.17990735674422,43.28635792168182,98276800,44.71571655273438,43.77231219993594
2018-06-27,43.563114166259766,44.30115011752738,43.532361465132965,43.816221168738046,101141200,44.67621192932129,43.13972499439319
2018-06-28,43.88009643554688,44.048048797133816,43.47796150277597,43.54892734019965,69460800,44.66000766754151,47.21652367182428
2018-06-29,43.787845611572266,44.27987088708251,43.26743544249482,44.06697335691033,90950800,44.59933242797852,46.17882057372123
2018-07-02,44.27750396728516,44.30589247089848,43.38807572597858,43.4826980555683,70925200,44.544334411621094,52.18564582715401
2018-07-03,43.50635528564453,44.45965324366076,43.41646496590489,44.421804308036364,55819200,44.43327331542969,43.87976469807666
